wavelength extinction_curve
392.0 4.004029750823975
402.0 3.932934284210205
412.0 3.8616459369659424
422.0 3.790104627609253
432.0 3.66058611869812
442.0 3.6425302028656006
452.0 3.5208635330200195
462.0 3.42183256149292
472.0 3.3702077865600586
482.0 3.31054949760437
492.0 3.2349464893341064
502.0 3.103348970413208
512.0 3.028446674346924
522.0 2.913299798965454
532.0 2.8309452533721924
542.0 2.766111135482788
552.0 2.658158779144287
562.0 2.5784859657287598
572.0 2.5361363887786865
582.0 2.4805185794830322
592.0 2.412776470184326
602.0 2.356668472290039
612.0 2.313209056854248
622.0 2.272326707839966
632.0 2.2307708263397217
642.0 2.1915647983551025
652.0 2.156630516052246
662.0 2.1017379760742188
672.0 2.040684938430786
682.0 2.0002477169036865
692.0 1.9592469930648804
702.0 1.9099318981170654
712.0 1.8628478050231934
722.0 1.8250858783721924
732.0 1.7893791198730469
742.0 1.7572511434555054
752.0 1.7151219844818115
762.0 1.7081632614135742
772.0 1.6803325414657593
782.0 1.6145453453063965
792.0 1.566452145576477
802.0 1.5282924175262451
812.0 1.4971987009048462
822.0 1.4678758382797241
832.0 1.4417716264724731
842.0 1.4134937524795532
852.0 1.3825805187225342
862.0 1.3539363145828247
872.0 1.3050405979156494
882.0 1.2772356271743774
892.0 1.2389837503433228
902.0 1.2139592170715332
912.0 1.193802833557129
922.0 1.155206322669983
932.0 1.143110990524292
942.0 1.113704800605774
952.0 1.075573444366455
962.0 1.0743821859359741
972.0 1.0339452028274536
982.0 0.9810613989830017
992.0 1.0053104162216187
1235.0 0.6821472644805908
1662.0 0.4082775115966797
2159.0 0.2695426046848297
3352.60009765625 0.13694290816783905
4602.7998046875 0.09808244556188583
